Pairing ID,	Main Layover, Sequence,	Pairing Length(in days), No.of Legs, Max LNj, Min LNj, Pairing Length(in duty hours), Pairing Length(in block hours), Start time ,End time, Rest End time
0,-,-,3,2,2,2,10,8,4/3/2017 13:40:0,4/4/2017 0:25:0,4/5/2017 12:29:0,
1,-,-,3,2,2,2,10,8,4/9/2017 13:20:0,4/10/2017 0:5:0,4/11/2017 0:10:0,
2,-,-,3,2,2,2,5,3,4/11/2017 17:50:0,4/11/2017 23:20:0,4/13/2017 0:10:0,
3,-,-,3,2,2,2,11,9,4/13/2017 12:30:0,4/13/2017 23:55:0,4/15/2017 17:30:0,
4,-,-,2,2,2,2,8,7,4/16/2017 1:40:0,4/16/2017 10:35:0,4/16/2017 22:35:0,
5,-,-,2,2,2,2,10,8,4/17/2017 7:10:0,4/17/2017 17:20:0,4/18/2017 17:30:0,
6,-,-,3,2,2,2,11,9,4/20/2017 12:30:0,4/20/2017 23:55:0,4/22/2017 17:30:0,
7,-,-,2,2,2,2,9,7,4/24/2017 6:35:0,4/24/2017 16:5:0,4/25/2017 17:30:0,
8,-,-,3,2,2,2,5,3,4/25/2017 18:25:0,4/26/2017 0:0:0,4/27/2017 0:10:0,
9,KWI,-,4,2,1,1,37,11,4/27/2017 11:25:0,4/29/2017 1:15:0,4/30/2017 0:10:0,
10,-,-,2,2,2,2,8,7,4/30/2017 1:40:0,4/30/2017 10:35:0,4/30/2017 22:35:0,
11,-,-,2,2,2,2,11,8,4/4/2017 0:35:0,4/4/2017 11:40:0,4/5/2017 12:29:0,
12,-,-,2,2,2,2,10,8,4/9/2017 5:30:0,4/9/2017 16:25:0,4/10/2017 12:29:0,
13,-,-,2,2,2,2,10,8,4/11/2017 0:40:0,4/11/2017 11:20:0,4/12/2017 12:29:0,
14,-,-,2,2,2,2,11,8,4/13/2017 0:35:0,4/13/2017 12:20:0,4/14/2017 12:29:0,
15,-,-,3,2,2,2,5,3,4/14/2017 17:50:0,4/14/2017 23:20:0,4/16/2017 0:10:0,
16,-,-,2,2,2,2,10,7,4/18/2017 0:55:0,4/18/2017 10:55:0,4/18/2017 22:55:0,
17,-,-,2,2,2,2,11,8,4/20/2017 0:35:0,4/20/2017 12:20:0,4/21/2017 12:29:0,
18,-,-,3,2,2,2,7,5,4/22/2017 16:55:0,4/23/2017 0:35:0,4/24/2017 0:10:0,
19,-,-,2,2,2,2,10,8,4/24/2017 0:40:0,4/24/2017 11:20:0,4/25/2017 12:29:0,
20,-,-,2,2,2,2,11,9,4/26/2017 0:40:0,4/26/2017 12:30:0,4/27/2017 0:30:0,
21,-,-,2,2,2,2,10,8,4/27/2017 7:10:0,4/27/2017 17:20:0,4/28/2017 17:30:0,
22,-,-,2,2,2,2,11,9,4/30/2017 0:40:0,4/30/2017 12:30:0,5/1/2017 0:30:0,
23,-,-,2,2,2,2,10,8,4/9/2017 7:10:0,4/9/2017 17:20:0,4/10/2017 17:30:0,
24,-,-,3,2,2,2,5,3,4/10/2017 17:50:0,4/10/2017 23:20:0,4/12/2017 0:10:0,
25,BKK,-,5,4,2,1,65,14,4/13/2017 0:30:0,4/15/2017 17:55:0,4/16/2017 23:55:0,
26,-,-,2,2,2,2,11,8,4/17/2017 5:25:0,4/17/2017 16:25:0,4/18/2017 12:29:0,
27,-,-,3,2,2,2,7,5,4/18/2017 16:55:0,4/19/2017 0:35:0,4/20/2017 0:10:0,
28,-,-,2,2,2,2,10,7,4/20/2017 0:55:0,4/20/2017 10:55:0,4/20/2017 22:55:0,
